sg_data_point,time,pressure,depth,temperature,conductivity,salinity,sigma_theta,density,latitude,longitude,buoyancy,speed,glide_angle,horz_speed,vert_speed,polar_heading
272,2023-05-12 19:58:46.989000192,52.25923986264279,51.81554311712696,8.804046226478503,3.190412006013292,29.704226275481314,23.008791400452424,1023.0080392543315,47.723110639773765,-122.39780588895891,214.7452578453395,33.138446958446806,18.960737244758185,31.340403004171588,10.767349086655674,1.3212142437597072
273,2023-05-12 19:58:56.989000192,51.08159520472113,50.64804172144334,8.808197332922711,3.190510970485572,29.701812662489914,23.00627926668892,1023.0055437145284,47.7231446394312,-122.39779195501737,214.85150934531129,32.58395412502001,18.47112773213722,30.905340562710993,10.323467979524073,1.2932889757277986
274,2023-05-12 19:59:06.988000000,50.024734614278636,49.600278380922866,8.82688324001873,3.1907595731608045,29.690002544101294,22.994290976589127,1022.993568902517,47.72317810247978,-122.39777659630039,214.49084259401434,32.45847874333852,18.369629779544443,30.804498253690717,10.229160751015888,1.2444197566719568
275,2023-05-12 19:59:16.989000192,48.94774334592294,48.53255211800212,8.833437776006773,3.1909075285413127,29.6862045638292,22.990344547253017,1022.9896374449171,47.72321140719064,-122.39776044330983,214.52388327708871,32.59623778694935,18.491996882055773,30.9132277719599,10.338620148853135,1.2531464029319286
276,2023-05-12 19:59:26.989000192,47.76003334904469,47.35505313640204,8.837914897846733,3.190957507161768,29.68308293767223,22.98722957665609,1022.9865392806162,47.723244715689525,-122.39774383030084,214.62838156085272,32.751189428099,18.62321026623274,31.03630843489554,10.458870287428564,1.2234758056480248
277,2023-05-12 19:59:36.989000192,46.58238869112304,46.18752626194867,8.85031231859469,3.191056392183857,29.674618102805113,22.978773927805264,1022.9780996096257,47.723277680291126,-122.39772571474757,214.47134440993008,32.68638993308944,18.573072447745872,30.98402417329915,10.411067807212882,1.1763519158441782
278,2023-05-12 19:59:46.989000192,45.52552810068054,45.13974005507703,8.857968786884637,3.191204349193332,29.670035211554186,22.974050872997395,1022.9733912240587,47.72331019536158,-122.39770631430842,214.4603373982446,32.48827545011062,18.4109066954559,30.82539257749749,10.260760896026333,1.1536626355682518
279,2023-05-12 19:59:56.989000192,44.32775276484569,43.95224252676286,8.870712696756613,3.191452992146679,29.662656336435926,22.966391485880763,1022.9657481434442,47.72334205939027,-122.39768518297764,214.34638119572085,32.43725513427869,18.372285381941182,30.78388229752999,10.223899028164805,1.08035880698449
280,2023-05-12 20:00:06.988000000,43.27089217440319,42.90444485994366,8.881493118770868,3.1917003022623147,29.65676937898262,22.96018818452376,1022.959559308677,47.72337314169682,-122.39766169800681,214.2889283303348,32.60427872750828,18.513717873773707,30.916930953624078,10.352891951039105,1.0262536001726656
281,2023-05-12 20:00:16.988000000,42.183835567090895,41.82670451237628,8.881751686567513,3.1916999657560723,29.656429628816483,22.959868613908725,1022.9592555610809,47.72340350121257,-122.3976360396017,214.5333619602116,32.84538493980507,18.707304546518273,31.110143402191724,10.534623360094104,0.9634217471008699
